Id,Rank,Mark,Wind,URI_Name,Competitor,DOB,Nat,Pos,Venue,City,Country,Date,Result_Score,Event,Sex
474,448,10.14,1.1,Joseph_Paul_Amoah,Joseph Paul Amoah,1997-01-12,GHA,3,Foote Field,Edmonton,CAN,2024-06-13,1159,100_metres,male
475,448,10.14,0.0,Kayinsola_Ajayi,Kayinsola Ajayi,2004-09-14,NGR,1,Samuel Ogbemudia Stadium,Benin City,NGR,2024-06-16,1159,100_metres,male
476,448,10.14,1.2,Christopher_Borzor,Christopher Borzor,1999-04-11,HAI,5f1,The Bahamas National Stadium,Nassau,BAH,2024-06-16,1159,100_metres,male
477,448,10.14,1.5,Benjamin_Azamati,Benjamin Azamati,1998-01-14,GHA,4,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1159,100_metres,male
478,448,10.14,-1.1,Ali_Anwar_Ali_Al_Balushi,Ali Anwar Ali Al Balushi,2002-02-09,OMA,1,Centro Sportivo Saletti,Nembro,ITA,2024-06-19,1165,100_metres,male
479,448,10.14,-0.2,Arthur_Cisse,Arthur Cisse,1996-12-29,CIV,1f1,Estadio Vallehermoso,Madrid,ESP,2024-06-21,1160,100_metres,male
480,448,10.14,1.0,Benjamin_Richardson,Benjamin Richardson,2003-12-19,RSA,1h8,Stade Omnisport de JAPOMA,Douala,CMR,2024-06-21,1159,100_metres,male
481,448,10.14,1.2,Joshua_Azzopardi,Joshua Azzopardi,1999-11-27,AUS,3f1,Centre sportif Bout-du-Monde,Geneve,SUI,2024-06-22,1159,100_metres,male
482,448,10.14,0.1,Cooper_Bibbs,Cooper Bibbs,1998-04-14,USA,2h4,Hayward Field, Eugene,USA,2024-06-22,1159,100_metres,male
483,448,10.14,0.6,Sandrey_Davison,Sandrey Davison,2003-01-25,JAM,4sf1,National Stadium,Kingston,JAM,2024-06-28,1159,100_metres,male
484,448,10.14,0.6,Jelani_Walker,Jelani Walker,1998-06-10,JAM,5sf1,National Stadium,Kingston,JAM,2024-06-28,1159,100_metres,male
485,448,10.14,-0.2,Akihiro_Higashida,Akihiro Higashida,1995-12-13,JPN,2,Denka Big Swan Stadium,Niigata,JPN,2024-06-30,1160,100_metres,male
486,448,10.14,-0.2,Hiroki_Yanagita,Hiroki Yanagita,2003-07-25,JPN,3,Denka Big Swan Stadium,Niigata,JPN,2024-06-30,1160,100_metres,male
487,448,10.14,0.7,Chituru_Ali,Chituru Ali,1999-04-06,ITA,7sf1,Stade de France,Paris,FRA,2024-08-04,1159,100_metres,male
488,448,10.14,0.5,Puripol_Boonson,Puripol Boonson,2006-01-13,THA,9sf3,Stade de France,Paris,FRA,2024-08-04,1159,100_metres,male
489,448,10.14,1.7,Nethaneel_Mitchell-blake,Nethaneel Mitchell-blake,1994-04-02,GBR,2er2,London Marathon Community Track,London,GBR,2024-08-18,1159,100_metres,male
490,448,10.14,0.7,Erik_Cardoso,Erik Cardoso,2000-03-03,BRA,2,COTP Stadium,São Paulo,BRA,2024-08-23,1159,100_metres,male
491,448,10.14,0.0,Jerome_Blake,Jerome Blake,1995-08-18,CAN,4,Olympiastadion,Berlin,GER,2024-09-01,1159,100_metres,male
492,448,10.14,1.8,Emil_Mader_Kjær,Emil Mader Kjær,1999-12-20,DEN,1h1,Østerbro Stadium,Copenhagen,DEN,2024-09-03,1159,100_metres,male
493,448,10.14,0.3,Seye_Ogunlewe,Seye Ogunlewe,1991-08-30,NGR,2er1,Stratford Community Track,London,GBR,2024-09-08,1159,100_metres,male
494,494,10.15,1.9,Jacob_Despard,Jacob Despard,1996-11-20,AUS,1f1,AIS Athletics Track,Canberra,AUS,2024-01-27,1155,100_metres,male
495,494,10.15,1.9,Joshua_Azzopardi,Joshua Azzopardi,1999-11-27,AUS,1f1,AIS Athletics Track,Canberra,AUS,2024-01-27,1155,100_metres,male
496,494,10.15,1.9,Alexander_Colgan,Alexander Colgan,2004-10-31,AUS,1f1,AIS Athletics Track,Canberra,AUS,2024-01-27,1155,100_metres,male
497,494,10.15,1.8,Nigel_Ellis,Nigel Ellis,1997-08-08,JAM,1h3,National Stadium,Kingston,JAM,2024-02-24,1155,100_metres,male
498,494,10.15,-0.1,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,1h1,University of Ghana Sports Stadium,Accra,GHA,2024-03-18,1155,100_metres,male
499,494,10.15,0.5,Davonte_Howell,Davonte Howell,2005-10-28,CAY,1,Kirani James Athletic Stadium,St. George's,GRN,2024-03-30,1155,100_metres,male
500,494,10.15,1.7,Filippo_Tortu,Filippo Tortu,1998-06-15,ITA,7f1,Percy Beard Track, Gainesville,USA,2024-04-13,1155,100_metres,male
501,494,10.15,1.4,Traunard_Folson,Traunard Folson,,USA,1f5,John McDonnell Field, Fayetteville,USA,2024-04-19,1155,100_metres,male
502,494,10.15,-0.4,Sandrey_Davison,Sandrey Davison,2003-01-25,JAM,1f1,Jamaica College Ashenheim Stadium,Kingston,JAM,2024-04-20,1157,100_metres,male
503,494,10.15,1.6,Trayvion_White-austin,Trayvion White-austin,2000-12-13,USA,1f2,Hilmer Lodge Stadium, Walnut,USA,2024-04-20,1155,100_metres,male
504,494,10.15,1.7,Keli_Zeng,Keli Zeng,2006-09-28,CHN,1sf1,,Dubai,UAE,2024-04-25,1155,100_metres,male
505,494,10.15,0.9,Abdul_Hakim_Sani_Brown,Abdul Hakim Sani Brown,1999-03-06,JPN,5f1,University of North Florda Jax Track at Hodges Stadium, Jacksonville,USA,2024-04-27,1155,100_metres,male
506,494,10.15,1.0,Mason_Phillips,Mason Phillips,,USA,1,University of Michigan Outdoor Track Stadium, Ann Arbor,USA,2024-04-27,1155,100_metres,male
507,494,10.15,1.8,Gaofei_Sui,Gaofei Sui,2001-04-19,CHN,1sf1,Sports Center,Bengbu,CHN,2024-05-10,1155,100_metres,male
508,494,10.15,0.9,Neiker_Abello,Neiker Abello,2000-03-30,COL,2h3,Pista de Atletismo da Universidade Federal do Mato Grosso,Cuiaba,BRA,2024-05-10,1155,100_metres,male
509,494,10.15,0.1,Ibrahim_Fuseini,Ibrahim Fuseini,2002-11-24,GHA,1,University of the Incarnate Word, San Antonio,USA,2024-05-11,1155,100_metres,male
510,494,10.15,0.6,Tyquendo_Tracey,Tyquendo Tracey,1993-06-10,JAM,1f2,National Stadium,Kingston,JAM,2024-05-11,1155,100_metres,male
511,494,10.15,0.6,Bryan_Levell,Bryan Levell,2003-12-23,JAM,1f2,National Stadium,Kingston,JAM,2024-05-11,1155,100_metres,male
512,494,10.15,0.3,Coby_Hilton,Coby Hilton,1998-04-08,USA,2,Stadion Eggenberg,Graz,AUT,2024-05-12,1155,100_metres,male
513,494,10.15,0.0,Yupun_Abeykoon,Yupun Abeykoon,1994-12-31,SRI,1h1,Paul-Greifzu-Stadion,Dessau,GER,2024-05-24,1155,100_metres,male
514,494,10.15,0.7,Jamal_Miller,Jamal Miller,2000-07-19,JAM,3sf1,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1155,100_metres,male
515,494,10.15,0.7,Cheickna_Traore,Cheickna Traore,2000-10-21,CIV,5sf3,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1155,100_metres,male
516,494,10.15,1.9,Lucas_Ansah-peprah,Lucas Ansah-peprah,2000-01-16,GER,3f2,Stadion Manfort,Leverkusen,GER,2024-05-25,1155,100_metres,male
517,494,10.15,-0.9,Ronnie_Baker,Ronnie Baker,1993-10-15,USA,2,Edwin Moses Track, Atlanta,USA,2024-05-31,1160,100_metres,male
518,494,10.15,1.1,Usheoritse_Itsekiri,Usheoritse Itsekiri,1998-01-31,NGR,1h2,Alumni Field,Windsor,CAN,2024-06-02,1155,100_metres,male
519,494,10.15,1.7,Eugene_Amo-dadzie,Eugene Amo-dadzie,1992-06-22,GBR,1h2,Stadion Juliska,Praha,CZE,2024-06-03,1155,100_metres,male
520,494,10.15,0.3,Wanya_Mccoy,Wanya Mccoy,2003-03-29,BAH,3sf2,Hayward Field, Eugene,USA,2024-06-05,1155,100_metres,male
521,494,10.15,0.2,Lance_Lang,Lance Lang,2001-02-01,USA,9,Hayward Field, Eugene,USA,2024-06-07,1155,100_metres,male
522,494,10.15,1.1,Yuki_Koike,Yuki Koike,1995-05-13,JPN,3f1,Notre Dame HS, Sherman Oaks,USA,2024-06-07,1155,100_metres,male
523,494,10.15,1.4,Andre_De_Grasse,Andre De Grasse,1994-11-10,CAN,2h2,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1155,100_metres,male
524,494,10.15,1.5,Joshua_Azzopardi,Joshua Azzopardi,1999-11-27,AUS,4,Polideportivo Zorrotza,Bilbao,ESP,2024-06-18,1155,100_metres,male
525,494,10.15,0.0,Bayanda_Walaza,Bayanda Walaza,2006-02-09,RSA,1h7,Stade Omnisport de JAPOMA,Douala,CMR,2024-06-21,1155,100_metres,male
526,494,10.15,1.1,Simon_Verherstraeten,Simon Verherstraeten,1999-01-14,BEL,1h3,Centre sportif Bout-du-Monde,Geneve,SUI,2024-06-22,1155,100_metres,male
527,494,10.15,-0.1,Ronnie_Baker,Ronnie Baker,1993-10-15,USA,2h5,Hayward Field, Eugene,USA,2024-06-22,1155,100_metres,male
528,494,10.15,0.0,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,2,Stade Omnisport de JAPOMA,Douala,CMR,2024-06-22,1155,100_metres,male
529,494,10.15,1.7,Franquelo_Perez,Franquelo Perez,2002-07-19,DOM,1h2,Pista atletismo Fuente de la Niña,Guadalajara,ESP,2024-06-23,1155,100_metres,male
530,494,10.15,1.0,Shakur_Williams,Shakur Williams,2001-10-29,JAM,6h2,National Stadium,Kingston,JAM,2024-06-27,1155,100_metres,male
531,494,10.15,1.4,Dylan_Vermont,Dylan Vermont,1999-08-24,FRA,3,Stade Josette et Roger Mikulak,Angers,FRA,2024-06-28,1155,100_metres,male
532,494,10.15,0.2,Duan_Asemota,Duan Asemota,1996-08-29,CAN,2h2,Complexe Sportif Claude-Robillard,Montreal,CAN,2024-06-28,1155,100_metres,male
533,494,10.15,1.4,Jerome_Blake,Jerome Blake,1995-08-18,CAN,1h3,Complexe Sportif Claude-Robillard,Montreal,CAN,2024-06-28,1155,100_metres,male
534,494,10.15,0.6,Gary_Card,Gary Card,2007-06-04,JAM,1sf2,National Stadium,Kingston,JAM,2024-06-28,1155,100_metres,male
535,494,10.15,0.4,Julian_Forte,Julian Forte,1993-01-07,JAM,4sf2,National Stadium,Kingston,JAM,2024-06-28,1155,100_metres,male
536,494,10.15,0.6,Simon_Verherstraeten,Simon Verherstraeten,1999-01-14,BEL,1f2,Boudewijnstadion,Bruxelles,BEL,2024-06-29,1155,100_metres,male
537,494,10.15,0.6,Owen_Ansah,Owen Ansah,2000-11-28,GER,1sf1,Eintracht-Stadion,Braunschweig,GER,2024-06-29,1155,100_metres,male
538,494,10.15,1.2,Joshua_Hartmann,Joshua Hartmann,1999-06-09,GER,1sf2,Eintracht-Stadion,Braunschweig,GER,2024-06-29,1155,100_metres,male
539,494,10.15,1.8,Soshi_Mizukubo,Soshi Mizukubo,1999-03-01,JPN,1,Prefectural Sports Park,Miyazaki,JPN,2024-07-06,1155,100_metres,male
540,494,10.15,0.3,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,1h3,Centro Gabre Gabric,Brescia,ITA,2024-07-06,1155,100_metres,male
541,494,10.15,-0.6,Rohan_Watson,Rohan Watson,2002-04-29,JAM,4,Bregyó Athletic Center,Szekesfehervár,HUN,2024-07-09,1158,100_metres,male
542,494,10.15,-0.7,Aaron_Brown,Aaron Brown,1992-05-27,CAN,4,Billy J. Murphy Track and Field Complex, Memphis,USA,2024-07-12,1159,100_metres,male
543,494,10.15,0.9,Kobe_Vleminckx,Kobe Vleminckx,1998-05-31,BEL,4f2,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1155,100_metres,male
544,494,10.15,1.8,Earl_Simmons,Earl Simmons,2001-12-26,VIN,1,Kimpisen yleisurheilukenttä,Lappeenranta,FIN,2024-07-17,1155,100_metres,male
545,494,10.15,1.2,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,6,Percy Beard Track, Gainesville,USA,2024-07-19,1155,100_metres,male
546,494,10.15,1.5,Earl_Simmons,Earl Simmons,2001-12-26,VIN,1h1,Keskusurheilukenttä,Joensuu,FIN,2024-07-20,1155,100_metres,male
547,494,10.15,0.7,Rikkoi_Brathwaite,Rikkoi Brathwaite,1999-02-13,IVB,8sf1,Stade de France,Paris,FRA,2024-08-04,1155,100_metres,male
548,494,10.15,0.9,Hygor_Gabriel_Bezera,Hygor Gabriel Bezera,2002-10-08,BRA,1sf1,CNDA,Braganca Paulista,BRA,2024-08-16,1155,100_metres,male
549,494,10.15,0.0,Hassan_Taftian,Hassan Taftian,1993-05-04,IRI,1,5 Mordad Stadium,Arak,IRI,2024-08-19,1155,100_metres,male
550,494,10.15,1.1,Simon_Wulff,Simon Wulff,2001-01-01,GER,1h2,Heinz-Steyer-Stadion,Dresden,GER,2024-08-30,1155,100_metres,male
551,494,10.15,1.3,Jerome_Blake,Jerome Blake,1995-08-18,CAN,1,Stadio Quercia,Rovereto,ITA,2024-08-31,1155,100_metres,male
552,494,10.15,-0.2,Jerome_Blake,Jerome Blake,1995-08-18,CAN,4,Sports Park Mladost,Zagreb,CRO,2024-09-08,1156,100_metres,male
553,553,10.16,-0.5,Emmanuel_Ekanem_Consider,Emmanuel Ekanem Consider,2004-12-01,NGR,1sf1,Stephen Keshi Stadium,Asaba,NGR,2024-02-17,1155,100_metres,male
554,553,10.16,1.9,Devin_Augustine,Devin Augustine,2003-12-02,TTO,3f1,UMiami Cobb Stadium, Coral Gables,USA,2024-03-16,1152,100_metres,male
555,553,10.16,0.1,Godson_Oke_Oghenebrume,Godson Oke Oghenebrume,2003-05-27,NGR,3f1,Percy Beard Track, Gainesville,USA,2024-04-13,1152,100_metres,male
556,553,10.16,0.1,Bryan_Levell,Bryan Levell,2003-12-23,JAM,1f4,Percy Beard Track, Gainesville,USA,2024-04-13,1152,100_metres,male
557,553,10.16,1.6,Jaleel_Croal,Jaleel Croal,2003-03-13,IVB,2f2,Hilmer Lodge Stadium, Walnut,USA,2024-04-20,1152,100_metres,male
558,553,10.16,1.3,David_Foster,David Foster,2003-08-29,USA,5f3,Hilmer Lodge Stadium, Walnut,USA,2024-04-20,1152,100_metres,male
559,553,10.16,1.6,Kendal_Williams,Kendal Williams,1995-09-23,USA,5f1,National Training Center, Clermont,USA,2024-04-20,1152,100_metres,male
560,553,10.16,1.7,Seye_Ogunlewe,Seye Ogunlewe,1991-08-30,NGR,5f1,LSU Bernie Moore Stadium, Baton Rouge,USA,2024-04-27,1152,100_metres,male
561,553,10.16,1.8,Sam_Blaskowski,Sam Blaskowski,2002-11-05,USA,1sf1,Veterans Memorial Stadium, La Crosse,USA,2024-05-10,1152,100_metres,male
562,553,10.16,1.1,Lance_Lang,Lance Lang,2001-02-01,USA,3h1,Percy Beard Track, Gainesville,USA,2024-05-10,1152,100_metres,male
563,553,10.16,0.6,Myles_Thomas,Myles Thomas,,USA,2h3,Percy Beard Track, Gainesville,USA,2024-05-10,1152,100_metres,male
564,553,10.16,0.3,Marcellus_Moore,Marcellus Moore,2002-06-30,USA,2f3,Clyde Hart Track & Field Stadium, Waco,USA,2024-05-11,1152,100_metres,male
565,553,10.16,0.3,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,2f3,Clyde Hart Track & Field Stadium, Waco,USA,2024-05-11,1152,100_metres,male
566,553,10.16,2.0,Meba_Mickael_Zeze,Meba Mickael Zeze,1994-05-19,FRA,7f1,National Training Center, Clermont,USA,2024-05-11,1152,100_metres,male
567,553,10.16,1.0,Cejhae_Greene,Cejhae Greene,1995-10-06,ANT,1h2,National Training Center, Clermont,USA,2024-05-11,1152,100_metres,male
568,553,10.16,0.6,Lance_Lang,Lance Lang,2001-02-01,USA,8,Percy Beard Track, Gainesville,USA,2024-05-11,1152,100_metres,male
569,553,10.16,0.5,Travis_Williams,Travis Williams,2003-03-11,JAM,5,Potts Field, Boulder,USA,2024-05-12,1152,100_metres,male
570,553,10.16,0.5,Kaleb_Simpson,Kaleb Simpson,,USA,6,Potts Field, Boulder,USA,2024-05-12,1152,100_metres,male
571,553,10.16,0.5,Coby_Hilton,Coby Hilton,1998-04-08,USA,1,Sportzentrum Niederösterreich,St. Pölten,AUT,2024-05-17,1152,100_metres,male
572,553,10.16,1.7,Seye_Ogunlewe,Seye Ogunlewe,1991-08-30,NGR,1h1,Enwag-Stadion,Wetzlar,GER,2024-05-18,1152,100_metres,male
573,553,10.16,2.0,Richard_Kilty,Richard Kilty,1989-09-02,GBR,2er11,Lee Valley Athletics Centre,London,GBR,2024-05-19,1152,100_metres,male
574,553,10.16,1.9,Yohan_Blake,Yohan Blake,1989-12-26,JAM,1h2,Leichtathletikarena,Eisenstadt,AUT,2024-05-22,1152,100_metres,male
575,553,10.16,1.9,Deniz_Almas,Deniz Almas,1997-07-17,GER,1h3,Leichtathletikarena,Eisenstadt,AUT,2024-05-22,1152,100_metres,male
576,553,10.16,0.3,Yupun_Abeykoon,Yupun Abeykoon,1994-12-31,SRI,1f1,Paul-Greifzu-Stadion,Dessau,GER,2024-05-24,1152,100_metres,male
577,553,10.16,0.7,Solomon_Kweku_Hammond,Solomon Kweku Hammond,1999-01-27,GHA,4sf1,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1152,100_metres,male
578,553,10.16,0.7,Eloy_Benitez,Eloy Benitez,2003-05-07,PUR,1f1,Estadio de Atletismo - Unidad Deportiva el Salitre,Bogotá,COL,2024-05-25,1152,100_metres,male
579,553,10.16,0.6,Duan_Asemota,Duan Asemota,1996-08-29,CAN,1h2,Alumni Stadium,London,CAN,2024-05-26,1152,100_metres,male
580,553,10.16,0.7,Ojie_Edoburun,Ojie Edoburun,1996-06-02,GBR,5er1,London Marathon Community Track,London,GBR,2024-05-26,1152,100_metres,male
581,553,10.16,-1.0,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,1,Olympiastadion,Stockholm,SWE,2024-06-02,1158,100_metres,male
582,553,10.16,1.7,Shoma_Yamamoto,Shoma Yamamoto,2002-06-20,JPN,1h2,Athletic Stadium,Tottori,JPN,2024-06-02,1152,100_metres,male
583,553,10.16,0.7,Henrik_Larsson,Henrik Larsson,1999-09-30,SWE,4,Stadio Olimpico,Roma,ITA,2024-06-08,1152,100_metres,male
584,553,10.16,0.9,Sachin_Dennis,Sachin Dennis,2002-08-02,JAM,1f2,National Stadium,Kingston,JAM,2024-06-08,1152,100_metres,male
585,553,10.16,0.8,Duan_Asemota,Duan Asemota,1996-08-29,CAN,1h2,Foote Field,Edmonton,CAN,2024-06-13,1152,100_metres,male
586,553,10.16,0.7,Yuhi_Mori,Yuhi Mori,2003-12-14,JPN,1sf2,Lemon Gas Stadium,Hiratsuka,JPN,2024-06-15,1152,100_metres,male
587,553,10.16,0.0,Alaba_Olukunle_Akintola,Alaba Olukunle Akintola,2001-09-14,NGR,2,Samuel Ogbemudia Stadium,Benin City,NGR,2024-06-16,1152,100_metres,male
588,553,10.16,1.2,Jiapeng_Chen,Jiapeng Chen,2002-07-05,CHN,4f1,Centre sportif Bout-du-Monde,Geneve,SUI,2024-06-22,1152,100_metres,male
589,553,10.16,0.2,Zachaeus_Beard,Zachaeus Beard,2000-09-30,USA,3h3,Hayward Field, Eugene,USA,2024-06-22,1152,100_metres,male
590,553,10.16,0.0,Eugene_Amo-dadzie,Eugene Amo-dadzie,1992-06-22,GBR,1f21,Lee Valley Athletics Centre,London,GBR,2024-06-23,1152,100_metres,male
591,553,10.16,-1.8,Wanya_Mccoy,Wanya Mccoy,2003-03-29,BAH,1f1,T. Robinson Stadium,Nassau,BAH,2024-06-26,1162,100_metres,male
592,553,10.16,0.8,Deandre_Daley,Deandre Daley,2005-02-08,JAM,1h3,National Stadium,Kingston,JAM,2024-06-27,1152,100_metres,male
593,553,10.16,0.4,Bouwahjgie_Nkrumie,Bouwahjgie Nkrumie,2004-02-16,JAM,4h1,National Stadium,Kingston,JAM,2024-06-27,1152,100_metres,male
594,553,10.16,0.0,Deandre_Daley,Deandre Daley,2005-02-08,JAM,2,National Stadium,Kingston,JAM,2024-06-28,1152,100_metres,male
595,553,10.16,0.5,Mamadou_Fall_Sarr,Mamadou Fall Sarr,1998-11-29,SEN,1,Stade Yvon Chevalier,Saintes,FRA,2024-06-28,1152,100_metres,male
596,553,10.16,-0.2,Akihiro_Higashida,Akihiro Higashida,1995-12-13,JPN,1sf1,Denka Big Swan Stadium,Niigata,JPN,2024-06-29,1153,100_metres,male
597,553,10.16,0.5,Yannick_Wolf,Yannick Wolf,2000-05-12,GER,3,Eintracht-Stadion,Braunschweig,GER,2024-06-29,1152,100_metres,male
598,553,10.16,0.8,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,4,FBK Stadium,Hengelo,NED,2024-07-07,1152,100_metres,male
599,553,10.16,-0.7,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,1,Estádio Municipal Fontelo,Viseu,POR,2024-07-13,1156,100_metres,male
600,553,10.16,0.3,Simon_Verherstraeten,Simon Verherstraeten,1999-01-14,BEL,1f2,Stadion Allmend,Luzern,SUI,2024-07-16,1152,100_metres,male
601,553,10.16,0.8,Enoch_Adegoke,Enoch Adegoke,2000-03-08,NGR,2f2,Stade Jean Jacoby,Schifflange,LUX,2024-07-21,1152,100_metres,male
602,553,10.16,0.2,Joshua_Hartmann,Joshua Hartmann,1999-06-09,GER,3h2,Stade de France,Paris,FRA,2024-08-03,1152,100_metres,male
603,553,10.16,-0.2,Zhenye_Xie,Zhenye Xie,1993-08-17,CHN,4h3,Stade de France,Paris,FRA,2024-08-03,1153,100_metres,male
604,553,10.16,0.0,Favour_Oghene_Tejiri_Ashe,Favour Oghene Tejiri Ashe,2002-04-28,NGR,4h4,Stade de France,Paris,FRA,2024-08-03,1152,100_metres,male
605,553,10.16,0.0,Joshua_Hartmann,Joshua Hartmann,1999-06-09,GER,7sf2,Stade de France,Paris,FRA,2024-08-04,1152,100_metres,male
606,553,10.16,1.2,Shoto_Uno,Shoto Uno,2001-05-17,JPN,1h4,Athletic Park Stadium,Sano,JPN,2024-08-17,1152,100_metres,male
607,553,10.16,1.0,Jerome_Blake,Jerome Blake,1995-08-18,CAN,1h1,Heinz-Steyer-Stadion,Dresden,GER,2024-08-30,1152,100_metres,male
608,553,10.16,1.3,Pjai_Austin,Pjai Austin,2000-09-19,USA,2,Stadio Quercia,Rovereto,ITA,2024-08-31,1152,100_metres,male
609,553,10.16,0.0,Joshua_Hartmann,Joshua Hartmann,1999-06-09,GER,5,Olympiastadion,Berlin,GER,2024-09-01,1152,100_metres,male
610,610,10.17,0.1,Pablo_Mateo,Pablo Mateo,2001-02-01,FRA,1f1,Univ. of Arizona Roy P. Drachman Stadium, Tucson,USA,2024-03-16,1148,100_metres,male
611,610,10.17,2.0,Rikkoi_Brathwaite,Rikkoi Brathwaite,1999-02-13,IVB,1f2,Percy Beard Track, Gainesville,USA,2024-03-30,1148,100_metres,male
612,610,10.17,1.5,Godson_Oke_Oghenebrume,Godson Oke Oghenebrume,2003-05-27,NGR,1f1,LSU Bernie Moore Stadium, Baton Rouge,USA,2024-03-30,1148,100_metres,male
613,610,10.17,0.4,Reynaldo_R._Espinosa,Reynaldo R. Espinosa,2003-02-01,CUB,2f1,Pista Rafael Fortun Chacon,Camaguey,CUB,2024-04-10,1148,100_metres,male
614,610,10.17,1.4,Sebastian_Sultana,Sebastian Sultana,2005-09-15,AUS,1sf1,SA Athletic Stadium,Adelaide,AUS,2024-04-13,1148,100_metres,male
615,610,10.17,-0.6,Fred_Kerley,Fred Kerley,1995-05-07,USA,2,Egret Stadium,Xiamen,CHN,2024-04-20,1151,100_metres,male
616,610,10.17,1.2,Harry_Aikines-aryeetey,Harry Aikines-aryeetey,1988-08-29,GBR,2h2,National Training Center, Clermont,USA,2024-04-20,1148,100_metres,male
617,610,10.17,-0.1,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,4,Suzhou Olympic Sports Centre,Suzhou,CHN,2024-04-27,1148,100_metres,male
618,610,10.17,-0.1,Jinxian_He,Jinxian He,2006-11-13,CHN,1,Sports Center,Bengbu,CHN,2024-05-10,1148,100_metres,male
619,610,10.17,1.1,Jehlani_Gordon,Jehlani Gordon,2003-12-01,JAM,4h1,Percy Beard Track, Gainesville,USA,2024-05-10,1148,100_metres,male
620,610,10.17,0.6,Tarsis_Gracious_Orogot,Tarsis Gracious Orogot,2002-11-24,UGA,3h3,Percy Beard Track, Gainesville,USA,2024-05-10,1148,100_metres,male
621,610,10.17,0.2,Henrik_Larsson,Henrik Larsson,1999-09-30,SWE,2h1,Stadion Eggenberg,Graz,AUT,2024-05-12,1148,100_metres,male
622,610,10.17,0.5,Coby_Hilton,Coby Hilton,1998-04-08,USA,1,Stade Pierre de Coubertin,Montgeron,FRA,2024-05-19,1148,100_metres,male
623,610,10.17,0.0,Ali_Anwar_Ali_Al_Balushi,Ali Anwar Ali Al Balushi,2002-02-09,OMA,2h1,Paul-Greifzu-Stadion,Dessau,GER,2024-05-24,1148,100_metres,male
624,610,10.17,0.7,Davonte_Howell,Davonte Howell,2005-10-28,CAY,5sf1,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1148,100_metres,male
625,610,10.17,0.9,Kayhan_Özer,Kayhan Özer,1998-06-11,TUR,1,Ataturk Stadyumu,Izmir,TUR,2024-05-25,1148,100_metres,male
626,610,10.17,0.1,Romell_Glave,Romell Glave,1999-11-11,GBR,1f1,London Marathon Community Track,London,GBR,2024-05-26,1148,100_metres,male
627,610,10.17,0.0,Ryiem_Forde,Ryiem Forde,2001-05-23,JAM,2,Mestský Stadion,Ostrava,CZE,2024-05-28,1148,100_metres,male
628,610,10.17,0.3,Lalu_Muhammad_Zohri,Lalu Muhammad Zohri,2000-07-01,INA,1h1,Taipei Municipal Stadium,Taipei City,TPE,2024-06-01,1148,100_metres,male
629,610,10.17,0.7,Seye_Ogunlewe,Seye Ogunlewe,1991-08-30,NGR,3h1,Stadion Juliska,Praha,CZE,2024-06-03,1148,100_metres,male
630,610,10.17,1.7,Jose_González,Jose González,1995-05-14,DOM,2h2,Stadion Juliska,Praha,CZE,2024-06-03,1148,100_metres,male
631,610,10.17,1.7,Reynier_Mena,Reynier Mena,1996-11-21,CUB,3h2,Stadion Juliska,Praha,CZE,2024-06-03,1148,100_metres,male
632,610,10.17,0.7,Owen_Ansah,Owen Ansah,2000-11-28,GER,5,Stadio Olimpico,Roma,ITA,2024-06-08,1148,100_metres,male
633,610,10.17,0.5,Pablo_Mateo,Pablo Mateo,2001-02-01,FRA,2sf3,Stadio Olimpico,Roma,ITA,2024-06-08,1148,100_metres,male
634,610,10.17,1.7,Cravon_Gillespie,Cravon Gillespie,1996-07-31,USA,1h2,Emory Woodruff Physical Education Center, Atlanta,USA,2024-06-08,1148,100_metres,male
635,610,10.17,1.2,Jose_González,Jose González,1995-05-14,DOM,1f1,Pista atletismo Fuente de la Niña,Guadalajara,ESP,2024-06-12,1148,100_metres,male
636,610,10.17,0.5,Puripol_Boonson,Puripol Boonson,2006-01-13,THA,1,National Athletics Centre,Pathum Thani,THA,2024-06-15,1148,100_metres,male
637,610,10.17,1.5,Jerome_Blake,Jerome Blake,1995-08-18,CAN,5,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1148,100_metres,male
638,610,10.17,-0.3,Ali_Anwar_Ali_Al_Balushi,Ali Anwar Ali Al Balushi,2002-02-09,OMA,1h1,Centro Sportivo Saletti,Nembro,ITA,2024-06-19,1149,100_metres,male
